,node,community_leiden
917,121237,11
918,2639,0
919,45065,0
920,67303,4
921,3362,4
922,89350,0
923,8021,3
924,24077,5
925,52363,1
926,113194,1
927,55045,0
928,24151,0
929,68831,1
930,140935,1
931,63414,0
932,108269,1
933,34642,0
934,127086,5
935,6326,6
936,81400,0
937,43535,0
938,43385,1
939,14649,0
940,139202,1
941,117335,0
942,108152,5
943,4280,1
944,46208,0
945,37207,0
946,83003,2
947,129805,4
948,17495,0
949,3138,0
950,134468,0
951,156615,1
952,134690,5
953,29942,4
954,103193,1
955,16972,0
956,114240,0
957,145573,3
958,15306,0
959,3647,1
960,110490,0
961,55069,1
962,56936,0
963,142017,1
964,152826,0
965,9569,2
966,135105,0
967,122741,0
968,62017,0
969,90511,0
970,87912,4
971,145357,2
972,27292,5
973,148128,2
974,65626,0
975,63009,8
976,28283,0
977,165601,1
978,79141,0
979,83282,0
980,33374,10
981,73188,0
982,123287,5
983,49655,6
984,63509,5
985,137623,0
986,46063,0
987,135656,0
988,35463,3
989,61183,1
990,97570,0
991,117504,4
992,102116,0
993,2223,3
994,82544,0
995,74986,4
996,3656,5
997,126876,4
998,56475,0
999,166544,1
1000,25623,1
1001,121008,2
1002,160955,0
1003,154621,1
1004,25531,0
1005,153297,5
1006,93024,0
1007,131405,0
1008,52190,0
1009,77546,4
1010,133992,0
1011,75030,3
1012,150119,0
1013,161737,1
1014,122177,3
1015,102749,3
1016,79845,2
1017,58656,0
1018,735,0
1019,60141,5
1020,152415,3
1021,30824,1
1022,68265,3
1023,38415,5
1024,53785,0
1025,28128,5
1026,103218,0
1027,160419,0
1028,38305,0
1029,57494,2
1030,47332,0
1031,51889,0
1032,14148,0
1033,109673,2
1034,70445,5
1035,6193,6
1036,29979,3
1037,4083,0
1038,5659,0
1039,107711,11
1040,13796,0
1041,41522,0
1042,74667,0
1043,103934,0
1044,32284,1
1045,161472,5
1046,51039,0
1047,164225,1
1048,84575,0
1049,142772,4
1050,157450,0
1051,98785,1
1052,93872,0
1053,131267,0
1054,109619,1
1055,140479,5
1056,1566,1
1057,160523,0
1058,111864,5
1059,64348,1
1060,51950,0
1061,11342,5
1062,34319,0
1063,54143,0
1064,78950,0
1065,44939,1
1066,131448,1
1067,29404,3
1068,49401,0
1069,19178,0
1070,2670,0
1071,163156,1
1072,164088,0
1073,117446,0
1074,45637,5
1075,143314,4
1076,74251,2
1077,163564,4
1078,5096,0
1079,103633,4
1080,72524,0
1081,127216,1
1082,111606,3
1083,45775,6
1084,152061,0
1085,20924,0
1086,85132,5
1087,76280,8
1088,2604,2
1089,103194,0
1090,44272,1
1091,6373,0
1092,158253,3
1093,158221,1
1094,70860,0
1095,81592,1
1096,84004,4
1097,92497,1
1098,45793,1
1099,23573,2
1100,99826,1
1101,133089,0
1102,65702,1
1103,256,7
1104,52777,5
1105,64641,2
1106,38421,2
1107,22552,0
1108,43538,5
1109,126032,3
1110,72969,0
1111,155757,1
1112,12114,0
1113,11053,0
1114,86549,0
1115,56538,5
1116,121178,4
1117,135416,3
1118,25613,3
1119,59734,3
1120,163776,0
1121,132616,0
1122,62234,4
1123,56640,0
1124,157308,0
1125,117607,0
1126,17276,0
1127,33743,3
1128,166816,0
1129,2804,4
1130,124031,1
1131,32388,4
1132,34349,3
1133,129623,5
1134,52926,0
1135,138478,0
1136,101125,1
1137,63059,0
1138,101811,0
1139,124658,0
1140,39316,5
1141,79736,1
1142,80833,0
1143,40097,2
1144,17531,3
1145,161850,1
1146,164635,7
1147,119485,0
1148,26420,0
1149,122970,0
1150,76815,3
1151,92460,0
1152,57827,0
1153,67939,1
1154,3379,0
1155,42521,4
1156,142368,4
1157,34874,3
1158,37075,2
1159,113018,8
1160,101863,0
1161,42528,0
1162,24464,0
1163,73690,0
1164,94323,0
1165,5869,0
1166,54200,1
1167,46702,0
1168,55256,0
1169,150994,0
1170,37361,1
1171,106637,1
1172,41453,0
1173,105458,0
1174,93693,0
1175,140069,0
1176,99641,2
1177,69796,1
1178,146265,5
1179,67052,0
1180,64197,0
1181,87885,0
1182,38587,0
1183,82420,2
1184,76452,1
1185,86479,3
1186,53288,0
1187,40547,0
1188,111395,1
1189,84596,0
1190,79999,10
1191,56504,0
1192,77477,0
1193,32458,4
1194,65429,0
1195,44090,0
1196,64895,2
1197,163929,0
1198,95858,3
1199,129524,2
1200,29709,1
1201,87464,0
1202,155178,5
1203,160305,2
1204,28307,4
1205,68577,3
1206,94566,1
1207,28677,0
1208,45024,0
1209,120322,0
1210,83320,3
1211,55414,1
1212,91567,0
1213,139908,0
1214,86396,1
1215,41840,1
1216,74614,0
1217,17887,0
1218,27807,2
1219,9592,1
1220,96485,4
1221,52262,0
1222,152927,0
1223,62073,2
1224,149414,3
1225,5897,3
1226,8751,3
1227,161967,0
1228,42982,0
1229,52282,0
1230,113830,1
1231,41824,0
1232,19297,1
1233,100978,0
1234,146221,0
1235,34475,0
1236,9859,1
1237,47029,5
1238,109134,4
1239,71672,0
1240,86155,2
1241,148700,0
1242,74377,0
1243,112869,11
1244,50693,0
1245,158059,0
1246,115496,0
1247,129463,0
1248,66141,0
1249,149407,0
1250,143786,0
1251,96145,0
1252,131651,2
1253,148323,1
1254,28704,1
1255,8083,0
1256,165339,2
1257,13718,0
1258,103249,0
1259,135726,0
1260,158930,0
1261,135139,2
1262,10735,0
1263,84684,6
1264,62836,0
1265,130526,3
1266,144514,1
1267,32054,0
1268,46240,0
1269,6371,1
1270,127636,5
1271,66249,4
1272,7101,4
1273,115159,2
1274,159427,0
1275,7649,0
1276,64754,3
1277,79257,0
1278,58594,1
1279,160333,0
1280,82531,4
1281,168075,5
1282,34458,0
1283,103729,0
1284,79367,0
1285,67951,1
1286,101764,1
1287,154536,1
1288,20237,4
1289,32440,4
1290,136317,3
1291,78093,0
1292,33479,0
1293,90368,0
1294,97116,0
1295,131333,2
1296,13169,0
1297,58808,0
1298,33269,0
1299,68992,1
1300,43624,2
1301,22386,1
1302,74486,3
1303,2161,1
1304,128836,3
1305,108658,0
1306,9681,1
1307,42482,0
1308,15105,5
1309,20453,4
1310,45373,2
1311,17861,5
1312,17198,0
1313,132304,0
1314,110470,0
1315,86304,1
1316,100730,3
1317,102029,2
1318,101447,3
1319,142000,0
1320,52663,4
1321,48533,0
1322,20269,0
1323,3909,2
1324,33189,3
1325,139409,0
1326,117452,0
1327,160315,2
1328,3662,5
1329,126080,0
1330,74706,1
1331,163378,0
1332,21251,0
1333,123785,0
1334,116114,0
1335,95855,1
1336,163799,0
1337,14290,0
1338,94361,5
1339,54268,0
1340,63640,4
1341,103340,1
1342,486,0
1343,162466,3
1344,69905,0
1345,28434,1
1346,126786,1
1347,151140,0
1348,70325,0
1349,63522,1
1350,73440,0
1351,20694,2
1352,60540,1
1353,113937,1
1354,163219,5
1355,43225,0
1356,11176,1
1357,4122,0
1358,61696,1
1359,37963,0
1360,73897,1
1361,14039,0
1362,101454,0
1363,102446,0
1364,13047,1
1365,58758,0
1366,85068,0
1367,34852,1
1368,165095,1
1369,109968,0
1370,5467,2
1371,154495,5
1372,137949,0
1373,13917,0
1374,56631,1
1375,125753,5
1376,80575,0
1377,30291,0
1378,121122,0
1379,16998,1
1380,63596,1
1381,15948,0
1382,66153,1
1383,94119,1
1384,105587,0
1385,60750,3
1386,102285,4
1387,20213,0
1388,146953,0
1389,101348,0
1390,70057,2
1391,67532,5
1392,90988,0
1393,130925,0
1394,126838,7
1395,86300,0
1396,152372,5
1397,128248,2
1398,149590,3
1399,78367,0
1400,5020,3
1401,47135,0
1402,109803,2
1403,153899,0
1404,134415,0
1405,106213,3
1406,145788,5
1407,27524,0
1408,145858,0
1409,55214,0
1410,156808,0
1411,105441,5
1412,20544,1
1413,126173,5
1414,1446,0
1415,130725,0
1416,39648,0
1417,76881,1
1418,23461,0
1419,35305,0
1420,157871,0
1421,119911,2
1422,144034,0
1423,64071,0
1424,11482,0
1425,86372,1
1426,98950,0
1427,94652,1
1428,52565,3
1429,20083,2
1430,83798,5
1431,2955,1
1432,25831,0
1433,113365,0
1434,41874,1
1435,2305,15
1436,68063,5
1437,55639,1
1438,60909,0
1439,90313,0
1440,32425,0
1441,147693,1
1442,55763,0
1443,87362,0
1444,66514,1
1445,36757,3
1446,113921,1
1447,134139,1
1448,64012,2
1449,149779,1
1450,27361,4
1451,140367,4
1452,126204,1
1453,154437,5
1454,41797,3
1455,105715,1
1456,106535,1
1457,79691,1
1458,166142,0
1459,135895,1
1460,47718,5
1461,10263,1
1462,19547,4
1463,64542,1
1464,16039,4
1465,94444,3
1466,14043,1
1467,45761,0
1468,26407,0
1469,5216,0
1470,123897,3
1471,111776,1
1472,2506,3
1473,144769,0
1474,61934,6
1475,3430,1
1476,29562,3
1477,143171,0
1478,124112,0
1479,772,1
1480,75589,0
1481,101140,1
1482,50864,0
1483,12788,2
1484,29475,1
1485,53907,1
1486,43718,4
1487,96801,0
1488,114314,4
1489,8527,2
1490,160521,1
1491,122574,1
1492,151944,0
1493,118742,0
1494,129697,0
1495,84179,0
1496,63215,8
1497,144459,4
1498,108895,1
1499,84196,1
1500,17776,1
1501,98551,9
1502,144853,4
1503,87157,4
1504,7632,5
1505,80266,5
1506,89550,2
1507,35601,0
1508,27150,0
1509,166953,2
1510,2580,1
1511,9119,0
1512,16833,1
1513,15026,0
1514,45344,1
1515,96811,1
1516,134861,0
1517,132638,3
1518,26484,5
1519,86846,0
1520,60105,1
1521,34594,0
1522,105609,0
1523,47028,5
1524,63303,0
1525,160765,0
1526,161660,0
1527,33511,0
1528,123820,0
1529,149556,5
1530,4992,0
1531,15927,2
1532,129235,4
1533,148664,0
1534,16983,2
1535,70065,1
1536,73782,0
1537,134651,1
1538,110167,1
1539,117907,0
1540,108046,0
1541,116313,1
1542,31014,0
1543,128722,3
1544,6699,0
1545,99686,0
1546,92598,1
1547,55948,1
1548,138813,0
1549,72434,1
1550,84419,4
1551,114616,0
1552,5626,0
1553,8942,3
1554,63656,0
1555,1631,0
1556,119410,5
1557,117084,0
1558,156561,0
1559,100039,0
1560,73625,0
1561,31352,2
1562,100499,2
1563,13178,1
1564,112598,2
1565,17642,1
1566,152813,2
1567,104666,0
1568,119357,0
1569,146777,3
1570,110570,0
1571,164910,3
1572,64705,0
1573,118672,9
1574,133492,4
1575,102880,5
1576,152063,0
1577,86299,1
1578,109404,0
1579,97662,0
1580,4898,2
1581,124250,5
1582,49396,4
1583,46022,0
1584,150914,0
1585,109375,5
1586,95185,2
1587,3672,2
1588,97908,0
1589,116848,1
1590,112231,0
1591,80881,5
1592,37343,1
1593,60918,5
1594,93165,12
1595,147488,2
1596,44066,1
1597,101015,0
1598,142918,1
1599,92678,0
1600,60025,0
1601,7945,2
1602,38650,0
1603,89429,0
1604,112071,0
1605,32242,0
1606,167609,0
1607,118061,2
1608,152593,8
1609,12925,0
1610,109296,0
1611,133784,0
1612,92543,1
1613,159857,0
1614,154798,4
1615,116633,1
1616,114511,5
1617,21626,5
1618,21717,1
1619,95676,3
1620,33868,5
1621,120320,0
1622,56153,4
1623,133581,0
1624,163961,0
1625,167702,4
1626,77502,0
1627,152662,5
1628,52902,0
1629,90281,0
1630,154862,1
1631,69683,0
1632,126706,0
1633,151375,0
1634,142558,0
1635,71985,3
1636,88306,5
1637,66939,9
1638,30290,5
1639,27927,0
1640,155868,0
1641,148248,1
1642,53241,0
1643,7674,0
1644,5079,5
1645,33076,0
1646,21969,0
1647,25785,2
1648,102617,0
1649,34493,0
1650,61091,0
1651,132768,0
1652,137830,2
1653,130143,5
1654,130714,4
1655,26415,5
1656,50404,0
1657,103181,1
1658,109290,2
1659,105428,0
1660,37375,0
1661,135758,0
1662,120507,1
1663,34240,0
1664,106292,1
1665,37937,10
1666,83492,0
1667,69401,4
1668,152980,0
1669,78364,1
1670,97414,1
1671,119226,0
1672,2144,4
1673,146640,8
1674,94149,2
1675,38693,0
1676,23450,6
1677,134996,2
1678,113709,1
1679,133389,0
1680,26707,0
1681,157433,3
1682,120999,0
1683,153486,0
1684,6792,0
1685,6401,2
1686,163709,1
1687,95441,0
1688,123972,2
1689,116273,0
1690,108424,5
1691,109374,4
1692,166442,3
1693,55315,4
1694,124361,1
1695,78674,1
1696,3373,0
1697,106018,0
1698,167008,1
1699,143458,5
1700,99613,5
1701,90458,5
1702,19105,1
1703,134656,0
1704,144294,0
1705,81585,4
1706,51181,1
1707,44481,1
1708,149289,0
1709,35774,0
1710,8261,0
1711,55415,0
1712,102824,2
1713,29362,1
1714,154461,0
1715,68863,0
1716,86935,0
1717,34712,1
1718,3623,0
1719,111005,0
1720,57257,4
1721,16033,1
1722,122099,4
1723,56448,1
1724,35871,0
1725,159983,1
1726,112600,0
1727,55849,0
1728,53,3
1729,89664,1
1730,137789,0
1731,91110,0
1732,99431,0
1733,13836,2
1734,59359,1
1735,120443,0
1736,79896,5
1737,162299,0
1738,129732,0
1739,121019,1
1740,4033,2
1741,140391,0
1742,113624,3
1743,69871,0
1744,113395,0
1745,33137,0
1746,4645,0
1747,122863,4
1748,24141,0
1749,34545,0
1750,24480,0
1751,43913,0
1752,120733,0
1753,96840,0
1754,54701,2
1755,117679,3
1756,90262,0
1757,162480,9
1758,103184,0
1759,102243,0
1760,107926,0
1761,142868,3
1762,45071,0
1763,63163,0
1764,35091,1
1765,6209,2
1766,20534,0
1767,7511,2
1768,63402,1
1769,152312,0
1770,78584,0
1771,51894,3
1772,161115,0
1773,110830,1
1774,65871,5
1775,98129,0
1776,42896,1
1777,112159,1
1778,111437,0
1779,110697,1
1780,45330,4
1781,127639,0
1782,58132,0
1783,127812,0
1784,11475,3
1785,53188,0
1786,59835,4
1787,16770,0
1788,129254,4
1789,63037,0
1790,81555,1
1791,13398,5
1792,115444,0
1793,139491,0
1794,34924,0
1795,117705,1
1796,4474,5
1797,87517,5
1798,96608,0
1799,85819,0
1800,145171,0
1801,86806,5
1802,14795,0
1803,108214,0
1804,127191,5
1805,147937,1
1806,167116,0
1807,142291,0
1808,155191,2
1809,34904,2
1810,96928,5
1811,44178,0
1812,62725,0
1813,153383,0
1814,86419,5
1815,21966,0
1816,37168,0
1817,82631,1
1818,142272,2
1819,145364,5
1820,49622,0
1821,26444,0
1822,111733,0
1823,117630,1
1824,27209,0
1825,103764,3
1826,20146,3
1827,63677,0
1828,110487,0
1829,129075,0
1830,27217,0
1831,71419,0
1832,51386,0
1833,160982,1
1834,1412,0
1835,101518,0
1836,3583,0
1837,92783,0
1838,80214,0
1839,113502,2
1840,152200,5
1841,132277,5
1842,60635,2
1843,49551,5
1844,74878,2
1845,167793,0
1846,76352,3
1847,14769,0
1848,74339,4
1849,85874,0
1850,40868,2
1851,149947,1
1852,90297,0
1853,116186,0
1854,80396,0
1855,53638,0
1856,167252,3
1857,164379,0
1858,3536,1
1859,137311,7
1860,111492,2
1861,626,0
1862,597,4
1863,57991,0
1864,75754,1
1865,125587,0
1866,21760,0
1867,132940,0
1868,25551,0
1869,95470,1
1870,20654,0
1871,157114,2
1872,15500,5
1873,150221,4
