,node,community
249,48554,1
250,16475,2
251,52703,3
252,57603,0
253,114099,3
254,31120,3
255,81147,3
256,65805,1
257,118233,3
258,52547,3
259,113066,0
260,63416,4
261,115864,2
262,89781,2
263,89324,0
264,41667,1
265,115865,0
266,75711,0
267,103568,3
268,87147,0
269,29633,0
270,27765,1
271,81028,3
272,98236,2
273,91424,0
274,82834,1
275,155787,0
276,164941,2
277,96696,3
278,74091,3
279,81714,3
280,124065,0
281,46035,3
282,61421,2
283,121294,3
284,156265,6
285,76441,3
286,101423,1
287,110198,1
288,21879,0
289,49371,1
290,86567,1
291,125348,3
292,12508,0
293,127055,1
294,142328,0
295,133775,3
296,67225,2
297,73899,0
298,86751,2
299,51733,1
300,87545,3
301,62849,0
302,53021,3
303,17801,1
304,166734,1
305,26148,1
306,96638,1
307,152066,1
308,36293,3
309,90205,1
310,35655,1
311,58379,3
312,154805,3
313,62727,3
314,97291,3
315,28073,0
316,67856,7
317,100124,1
318,2719,2
319,146151,1
320,96309,2
321,127721,1
322,129564,3
323,152481,2
324,104201,1
325,2755,2
326,23053,1
327,144342,2
328,33631,1
329,15881,1
330,4649,1
331,20811,1
332,105394,1
333,103500,1
334,91400,3
335,83027,3
336,80037,1
337,77316,1
338,69373,8
339,55505,4
340,96525,1
341,163487,2
342,6212,1
343,16226,0
344,11424,1
345,99674,1
346,80020,1
347,63000,2
348,75162,3
349,111252,1
350,23394,3
351,7115,0
352,17553,3
353,85906,1
354,12066,1
355,49336,0
356,51652,1
357,531,0
358,73580,1
359,78176,1
360,27971,0
361,138305,1
362,7484,3
363,84905,1
364,52205,0
365,110491,3
366,67900,0
367,20108,1
368,149150,0
369,142565,1
370,137945,3
371,144078,1
372,86757,3
373,162808,1
374,18310,3
375,101021,3
376,89262,1
377,32261,3
378,140650,1
379,65551,3
380,69317,1
381,125444,0
382,122186,2
383,85567,0
384,143890,0
385,109668,1
386,133388,1
387,22950,3
388,36881,0
389,140117,1
390,66933,0
391,150079,0
392,148757,1
393,46977,1
394,21753,0
395,63936,1
396,79615,1
397,48184,3
398,4450,2
399,62798,3
400,19388,3
401,121880,0
402,50592,7
403,142502,3
404,136561,0
405,152079,3
406,99423,2
407,782,1
408,113098,1
409,52338,2
410,137126,0
411,120774,1
412,92439,2
413,125269,2
414,164441,1
415,31362,1
416,99829,1
417,116920,0
418,114395,1
419,110249,1
420,30851,1
421,30852,3
422,119259,1
423,52011,3
424,97006,1
425,166230,2
426,145911,3
427,11628,3
428,162270,1
429,69584,2
430,163428,1
431,124061,3
432,13233,2
433,67478,0
434,46550,0
435,6513,2
436,119292,1
437,71355,2
438,17114,0
439,47917,2
440,55343,0
441,43534,2
442,158608,1
443,88758,2
444,97471,0
445,4774,1
446,90139,1
447,22705,1
448,45596,2
449,166419,3
450,41015,3
451,27248,3
452,76279,0
453,6190,2
454,57234,0
455,12521,1
456,39092,1
457,34750,0
458,16162,9
459,157006,0
460,92614,2
461,92339,1
462,51665,1
463,14648,1
464,44087,3
465,62741,1
466,8433,1
467,136670,0
468,82672,0
469,43133,3
470,39951,3
471,30092,1
472,12612,1
473,114483,0
474,158691,1
475,113201,0
476,100771,0
477,7950,2
478,151799,1
479,153763,1
480,95505,3
481,117377,1
482,151453,1
483,122526,3
484,50881,1
485,70078,2
486,71605,0
487,156481,1
488,55748,3
489,160823,1
490,26024,1
491,156357,1
492,7991,2
493,66451,3
494,119709,3
495,30036,0
496,25256,1
497,98676,1
498,68997,1
499,44747,2
500,24845,3
501,84235,1
502,43197,1
503,83472,1
504,24744,1
505,84502,2
506,108386,2
507,140327,3
508,129570,1
509,118462,3
510,85413,3
511,131116,2
512,56877,1
513,4426,3
514,120398,1
515,93407,1
516,28980,1
517,153354,1
518,119139,0
519,32022,0
520,92303,1
521,124323,1
522,18306,1
523,119742,5
524,125024,0
525,103813,0
526,94074,1
527,30947,0
528,2317,3
529,116876,3
530,80919,2
531,157744,3
532,63923,3
533,56720,4
534,10141,10
535,58365,1
536,74321,0
537,121877,1
538,141308,2
539,93358,1
540,9245,2
541,113845,3
542,25817,1
543,139226,1
544,40604,0
545,25376,3
546,31216,1
547,12739,3
548,73555,3
549,33872,2
550,124055,1
551,21991,0
552,120136,1
553,91114,3
554,70156,1
555,18137,1
556,19324,3
557,46405,0
558,154640,1
559,103728,1
560,61504,0
561,968,3
562,85669,2
563,45816,1
564,30293,11
565,99274,1
566,69819,3
567,2097,0
568,51176,1
569,26599,0
570,14199,3
571,10819,3
572,86341,1
573,89259,1
574,117239,1
575,102750,1
576,81776,3
577,104204,1
578,85740,1
579,17187,1
580,109835,0
581,102717,1
582,88205,1
583,87328,3
584,72850,1
585,17008,3
586,9408,1
587,79913,3
588,22970,29
589,116900,1
590,132818,0
591,74053,3
592,20683,0
593,121282,2
594,20401,1
595,36093,1
596,164477,29
597,23120,1
598,70775,1
599,77801,1
600,64241,0
601,142851,0
602,23875,1
603,25310,8
604,71809,0
605,142420,1
606,35200,3
607,133737,1
608,101091,0
609,70312,2
610,33976,3
611,134317,3
612,135638,3
613,56252,0
614,15754,1
615,93652,1
616,29339,3
617,43420,3
618,101516,3
619,114739,2
620,86463,3
621,87837,1
622,54557,3
623,107214,3
624,55675,3
625,85432,0
626,133012,2
627,95309,0
628,103147,1
629,71780,1
630,168096,3
631,18007,1
632,70714,1
633,106048,2
634,107615,3
635,24310,1
636,85993,3
637,41353,3
638,21778,3
639,62283,1
640,69139,2
641,1148,1
642,167619,1
643,1661,2
644,3075,0
645,51545,2
646,56759,3
647,150721,1
648,30050,1
649,87059,3
650,165831,1
651,5310,3
652,49886,1
653,79216,3
654,75239,2
655,24770,1
656,15993,0
657,21401,2
658,116258,1
659,19207,1
660,92378,2
661,53281,3
662,18933,1
663,105426,11
664,140033,0
665,115045,3
666,67503,2
667,102379,3
668,9026,1
669,93732,3
670,17274,2
671,15896,0
672,106919,2
673,155389,2
674,75249,1
675,50655,1
676,108994,3
677,47708,3
678,5048,0
679,76194,0
680,80024,3
681,119964,0
682,141509,3
683,64941,3
684,137445,2
685,69708,1
686,136249,8
687,140905,1
688,84721,0
689,57182,1
690,57565,1
691,86044,1
692,58264,3
693,80841,0
694,110326,0
695,116822,3
696,13875,3
697,114819,2
698,1472,1
699,139505,3
700,74691,1
701,48137,2
702,127674,1
703,46645,0
704,29623,0
705,5004,3
706,82569,0
707,48721,5
708,55177,3
709,101045,3
710,69345,1
711,101556,1
712,44603,2
713,80535,1
714,33266,3
715,115547,1
716,45383,0
717,115048,3
718,3945,1
719,129948,0
720,68535,3
721,14508,3
722,119980,1
723,92822,1
724,51199,3
725,121335,1
726,161267,0
727,28685,1
728,33376,2
729,1615,2
730,95683,1
731,76565,1
732,32275,3
733,137406,3
734,14387,1
735,78323,3
736,95567,1
737,32942,3
738,165909,1
739,134296,3
740,61100,1
741,26968,2
742,28570,3
743,60052,5
744,76456,1
745,143503,3
746,94002,1
747,70415,3
748,133488,3
749,151154,0
750,40651,0
751,141565,11
752,69159,1
753,9616,1
754,111514,1
755,112962,1
756,123274,3
757,37187,3
758,22419,1
759,145941,1
760,45930,1
761,73217,1
762,102445,1
763,131397,3
764,4545,3
765,114746,0
766,42779,1
767,102742,0
768,160213,1
769,24622,3
770,19242,1
771,37839,2
772,46288,3
773,98682,1
774,100916,3
775,46128,1
776,86033,0
777,161309,1
778,34662,1
779,106656,0
780,161515,1
781,161140,1
782,58126,3
783,94974,3
784,36308,29
785,149536,1
786,156944,0
787,8392,3
788,65744,0
789,161249,0
790,48668,2
791,69528,13
792,28244,1
793,92743,0
794,23410,1
795,6385,1
796,28041,1
797,87281,3
798,25979,3
799,112414,0
800,6625,2
801,108874,5
802,159899,0
803,3060,2
804,143544,2
805,144247,1
806,165936,2
807,483,1
808,125144,2
809,95963,3
810,12843,14
811,131058,1
812,151158,3
813,140204,0
814,113622,3
815,129849,3
816,104910,2
817,126790,1
818,84734,1
819,164714,3
820,119949,0
821,63437,2
822,50158,11
823,162929,3
824,124137,3
825,49208,2
826,18347,1
827,29453,1
828,54087,3
829,89610,1
830,59417,1
831,102057,1
832,69010,2
833,32362,1
834,80478,3
835,140427,0
836,134246,0
837,98235,1
838,99378,1
839,109495,1
840,120496,2
841,149215,1
842,158189,3
843,33360,1
844,11022,0
845,122041,1
846,62319,3
847,77874,2
848,62612,1
849,131584,1
850,136365,1
851,164528,13
852,123157,3
853,146937,1
854,39060,3
855,131192,1
856,26836,1
857,85463,1
858,59240,0
859,78836,3
860,125044,1
861,121705,1
862,73221,3
863,40240,8
864,68031,2
865,86553,3
866,88944,1
867,89207,0
868,8006,2
869,17309,3
870,1114,0
871,118661,3
872,20779,1
873,81674,3
874,95145,0
875,50712,3
876,8069,3
877,117962,1
878,93147,0
879,8397,3
880,38851,1
881,167917,0
882,70899,3
883,17841,0
884,94799,3
885,91422,1
886,70231,1
887,52517,0
888,100640,0
889,107146,1
890,167804,1
891,108961,1
892,98139,1
893,10320,0
894,93529,1
895,164688,1
896,22077,3
897,4138,3
898,69520,3
899,165482,1
900,91613,0
901,136653,1
902,84479,2
903,46268,0
904,93720,1
905,101246,1
906,28513,1
907,94957,3
908,87651,1
909,100661,1
910,132858,2
911,146188,1
912,80453,1
913,39440,1
914,114265,3
915,167736,3
916,67720,1
917,121237,29
918,2639,1
919,45065,1
920,67303,3
921,3362,2
922,89350,1
923,8021,1
924,24077,2
925,52363,0
926,113194,3
927,55045,3
928,24151,1
929,68831,2
930,140935,3
931,63414,1
932,108269,0
933,34642,1
934,127086,2
935,6326,11
936,81400,0
937,43535,1
938,43385,0
939,14649,0
940,139202,0
941,117335,1
942,108152,3
943,4280,0
944,46208,0
945,37207,1
946,83003,3
947,129805,2
948,17495,1
949,3138,1
950,134468,1
951,156615,0
952,134690,2
953,29942,2
954,103193,1
955,16972,0
956,114240,3
957,145573,1
958,15306,1
959,3647,0
960,110490,3
961,55069,0
962,56936,1
963,142017,1
964,152826,1
965,9569,3
966,135105,0
967,122741,1
968,62017,3
969,90511,3
970,87912,3
971,145357,3
972,27292,2
973,148128,3
974,65626,3
975,63009,4
976,28283,1
977,165601,0
978,79141,1
979,83282,1
980,33374,8
981,73188,1
982,123287,2
983,49655,11
984,63509,2
985,137623,1
986,46063,1
987,135656,1
988,35463,1
989,61183,0
990,97570,0
991,117504,3
992,102116,1
993,2223,1
994,82544,1
995,74986,2
996,3656,2
997,126876,1
998,56475,1
999,166544,0
1000,25623,0
1001,121008,3
1002,160955,1
1003,154621,0
1004,25531,3
1005,153297,2
1006,93024,1
1007,131405,1
1008,52190,1
1009,77546,2
1010,133992,3
1011,75030,1
1012,150119,1
1013,161737,0
1014,122177,1
1015,102749,3
1016,79845,3
1017,58656,3
1018,735,1
1019,60141,2
1020,152415,1
1021,30824,0
1022,68265,1
1023,38415,3
1024,53785,1
1025,28128,2
1026,103218,3
1027,160419,1
1028,38305,1
1029,57494,3
1030,47332,0
1031,51889,1
1032,14148,3
1033,109673,3
1034,70445,2
1035,6193,11
1036,29979,1
1037,4083,3
1038,5659,1
1039,107711,29
1040,13796,3
1041,41522,1
1042,74667,1
1043,103934,3
1044,32284,0
1045,161472,2
1046,51039,3
1047,164225,1
1048,84575,1
1049,142772,3
1050,157450,3
1051,98785,0
1052,93872,1
1053,131267,1
1054,109619,0
1055,140479,2
1056,1566,1
1057,160523,3
1058,111864,2
1059,64348,0
1060,51950,3
1061,11342,3
1062,34319,1
1063,54143,1
1064,78950,1
1065,44939,1
1066,131448,0
1067,29404,1
1068,49401,3
1069,19178,3
1070,2670,3
1071,163156,0
1072,164088,3
1073,117446,1
1074,45637,2
1075,143314,2
1076,74251,3
1077,163564,2
1078,5096,2
1079,103633,2
1080,72524,1
1081,127216,2
1082,111606,1
1083,45775,11
1084,152061,1
1085,20924,1
1086,85132,2
1087,76280,4
1088,2604,3
1089,103194,1
1090,44272,0
1091,6373,3
1092,158253,1
1093,158221,3
1094,70860,3
1095,81592,1
1096,84004,3
1097,92497,0
1098,45793,3
1099,23573,3
1100,99826,0
1101,133089,1
1102,65702,0
1103,256,13
1104,52777,2
1105,64641,3
1106,38421,1
1107,22552,1
1108,43538,2
1109,126032,3
1110,72969,3
1111,155757,0
1112,12114,0
1113,11053,1
1114,86549,1
1115,56538,2
1116,121178,2
1117,135416,1
1118,25613,1
1119,59734,0
1120,163776,0
1121,132616,3
1122,62234,3
1123,56640,1
1124,157308,1
1125,117607,1
1126,17276,0
1127,33743,1
1128,166816,1
1129,2804,1
1130,124031,0
1131,32388,2
1132,34349,1
1133,129623,2
1134,52926,1
1135,138478,1
1136,101125,0
1137,63059,1
1138,101811,1
1139,124658,1
1140,39316,2
1141,79736,0
1142,80833,3
1143,40097,3
1144,17531,1
1145,161850,1
1146,164635,13
1147,119485,3
1148,26420,1
1149,122970,0
1150,76815,1
1151,92460,3
1152,57827,3
1153,67939,1
1154,3379,1
1155,42521,1
1156,142368,2
1157,34874,1
1158,37075,3
1159,113018,4
1160,101863,1
1161,42528,1
1162,24464,1
1163,73690,3
1164,94323,0
1165,5869,3
1166,54200,3
1167,46702,3
1168,55256,1
1169,150994,1
1170,37361,0
1171,106637,0
1172,41453,3
1173,105458,3
1174,93693,1
1175,140069,3
1176,99641,3
1177,69796,1
1178,146265,2
1179,67052,3
1180,64197,0
1181,87885,1
1182,38587,0
1183,82420,3
1184,76452,1
1185,86479,0
1186,53288,1
1187,40547,3
1188,111395,0
1189,84596,0
1190,79999,8
1191,56504,3
1192,77477,3
1193,32458,3
1194,65429,1
1195,44090,1
1196,64895,3
1197,163929,3
1198,95858,0
1199,129524,3
1200,29709,0
1201,87464,3
1202,155178,2
1203,160305,3
1204,28307,3
1205,68577,1
1206,94566,3
1207,28677,1
1208,45024,1
1209,120322,1
1210,83320,1
1211,55414,0
1212,91567,0
1213,139908,3
1214,86396,3
1215,41840,3
1216,74614,1
1217,17887,1
1218,27807,3
1219,9592,0
1220,96485,3
1221,52262,3
1222,152927,1
1223,62073,3
1224,149414,1
1225,5897,0
1226,8751,1
1227,161967,3
1228,42982,3
1229,52282,3
1230,113830,2
1231,41824,0
1232,19297,0
1233,100978,1
1234,146221,1
1235,34475,1
1236,9859,3
1237,47029,2
1238,109134,2
1239,71672,1
1240,86155,3
1241,148700,1
1242,74377,1
1243,112869,29
1244,50693,3
1245,158059,1
1246,115496,1
1247,129463,1
1248,66141,1
1249,149407,1
1250,143786,1
1251,96145,1
1252,131651,3
1253,148323,0
1254,28704,0
1255,8083,1
1256,165339,3
1257,13718,1
1258,103249,3
1259,135726,1
1260,158930,1
1261,135139,3
1262,10735,0
1263,84684,11
1264,62836,1
1265,130526,1
1266,144514,1
1267,32054,3
1268,46240,1
1269,6371,0
1270,127636,2
1271,66249,1
1272,7101,1
1273,115159,3
1274,159427,1
1275,7649,1
1276,64754,1
1277,79257,1
1278,58594,0
1279,160333,1
1280,82531,2
1281,168075,2
1282,34458,1
1283,103729,3
1284,79367,3
1285,67951,0
1286,101764,1
1287,154536,0
1288,20237,1
1289,32440,3
1290,136317,1
1291,78093,1
1292,33479,1
1293,90368,1
1294,97116,1
1295,131333,3
1296,13169,1
1297,58808,1
1298,33269,3
1299,68992,3
1300,43624,3
1301,22386,1
1302,74486,1
1303,2161,1
1304,128836,1
1305,108658,1
1306,9681,0
1307,42482,1
1308,15105,2
1309,20453,1
1310,45373,3
1311,17861,2
1312,17198,3
1313,132304,3
1314,110470,1
1315,86304,0
1316,100730,1
1317,102029,3
1318,101447,1
1319,142000,3
1320,52663,2
1321,48533,1
1322,20269,1
1323,3909,3
1324,33189,0
1325,139409,1
1326,117452,1
1327,160315,3
1328,3662,2
1329,126080,3
1330,74706,0
1331,163378,1
1332,21251,3
1333,123785,1
1334,116114,3
1335,95855,0
1336,163799,1
1337,14290,0
1338,94361,2
1339,54268,3
1340,63640,3
1341,103340,0
1342,486,3
1343,162466,1
1344,69905,1
1345,28434,0
1346,126786,1
1347,151140,1
1348,70325,3
1349,63522,0
1350,73440,1
1351,20694,3
1352,60540,1
1353,113937,0
1354,163219,2
1355,43225,1
1356,11176,1
1357,4122,1
1358,61696,0
1359,37963,0
1360,73897,1
1361,14039,0
1362,101454,3
1363,102446,1
1364,13047,0
1365,58758,1
1366,85068,3
1367,34852,0
1368,165095,1
1369,109968,3
1370,5467,3
1371,154495,2
1372,137949,1
1373,13917,1
1374,56631,1
1375,125753,3
1376,80575,3
1377,30291,0
1378,121122,1
1379,16998,0
1380,63596,0
1381,15948,1
1382,66153,1
1383,94119,0
1384,105587,3
1385,60750,1
1386,102285,2
1387,20213,3
1388,146953,1
1389,101348,0
1390,70057,3
1391,67532,2
1392,90988,1
1393,130925,1
1394,126838,13
1395,86300,0
1396,152372,2
1397,128248,3
1398,149590,1
1399,78367,3
1400,5020,1
1401,47135,1
1402,109803,3
1403,153899,1
1404,134415,3
1405,106213,1
1406,145788,2
1407,27524,3
1408,145858,0
1409,55214,3
1410,156808,1
1411,105441,2
1412,20544,0
1413,126173,2
1414,1446,1
1415,130725,0
1416,39648,1
1417,76881,0
1418,23461,1
1419,35305,1
1420,157871,3
1421,119911,3
1422,144034,1
1423,64071,3
1424,11482,3
1425,86372,3
1426,98950,1
1427,94652,0
1428,52565,1
1429,20083,3
1430,83798,2
1431,2955,1
1432,25831,1
1433,113365,1
1434,41874,1
1435,2305,15
1436,68063,2
1437,55639,0
1438,60909,1
1439,90313,1
1440,32425,1
1441,147693,1
1442,55763,3
1443,87362,3
1444,66514,3
1445,36757,1
1446,113921,1
1447,134139,0
1448,64012,3
1449,149779,0
1450,27361,2
1451,140367,2
1452,126204,0
1453,154437,2
1454,41797,1
1455,105715,0
1456,106535,0
1457,79691,0
1458,166142,1
1459,135895,1
1460,47718,2
1461,10263,0
1462,19547,3
1463,64542,0
1464,16039,3
1465,94444,1
1466,14043,1
1467,45761,1
1468,26407,1
1469,5216,1
1470,123897,1
1471,111776,0
1472,2506,1
1473,144769,3
1474,61934,11
1475,3430,3
1476,29562,1
1477,143171,1
1478,124112,3
1479,772,3
1480,75589,1
1481,101140,1
1482,50864,1
1483,12788,3
1484,29475,0
1485,53907,0
1486,43718,2
1487,96801,3
1488,114314,3
1489,8527,3
1490,160521,1
1491,122574,0
1492,151944,0
1493,118742,1
1494,129697,1
1495,84179,0
1496,63215,4
1497,144459,2
1498,108895,1
1499,84196,1
1500,17776,1
1501,98551,5
1502,144853,3
1503,87157,1
1504,7632,2
1505,80266,2
1506,89550,3
1507,35601,3
1508,27150,1
1509,166953,3
1510,2580,0
1511,9119,3
1512,16833,1
1513,15026,1
1514,45344,0
1515,96811,3
1516,134861,2
1517,132638,1
1518,26484,2
1519,86846,3
1520,60105,0
1521,34594,1
1522,105609,1
1523,47028,2
1524,63303,1
1525,160765,3
1526,161660,3
1527,33511,1
1528,123820,1
1529,149556,2
1530,4992,1
1531,15927,3
1532,129235,2
1533,148664,3
1534,16983,3
1535,70065,2
1536,73782,3
1537,134651,0
1538,110167,2
1539,117907,1
1540,108046,1
1541,116313,0
1542,31014,0
1543,128722,1
1544,6699,1
1545,99686,3
1546,92598,0
1547,55948,0
1548,138813,1
1549,72434,1
1550,84419,2
1551,114616,0
1552,5626,1
1553,8942,1
1554,63656,1
1555,1631,1
1556,119410,2
1557,117084,1
1558,156561,1
1559,100039,1
1560,73625,1
1561,31352,3
1562,100499,2
1563,13178,0
1564,112598,3
1565,17642,0
1566,152813,3
1567,104666,0
1568,119357,1
1569,146777,1
1570,110570,1
1571,164910,1
1572,64705,1
1573,118672,5
1574,133492,2
1575,102880,2
1576,152063,1
1577,86299,3
1578,109404,1
1579,97662,1
1580,4898,3
1581,124250,2
1582,49396,3
1583,46022,1
1584,150914,3
1585,109375,2
1586,95185,3
1587,3672,3
1588,97908,1
1589,116848,1
1590,112231,1
1591,80881,2
1592,37343,0
1593,60918,2
1594,93165,9
1595,147488,3
1596,44066,0
1597,101015,3
1598,142918,0
1599,92678,3
1600,60025,1
1601,7945,3
1602,38650,1
1603,89429,3
1604,112071,1
1605,32242,1
1606,167609,1
1607,118061,3
1608,152593,3
1609,12925,1
1610,109296,3
1611,133784,1
1612,92543,1
1613,159857,0
1614,154798,3
1615,116633,0
1616,114511,2
1617,21626,2
1618,21717,0
1619,95676,1
1620,33868,2
1621,120320,3
1622,56153,2
1623,133581,0
1624,163961,1
1625,167702,3
1626,77502,1
1627,152662,2
1628,52902,1
1629,90281,3
1630,154862,0
1631,69683,3
1632,126706,3
1633,151375,1
1634,142558,3
1635,71985,1
1636,88306,2
1637,66939,5
1638,30290,1
1639,27927,3
1640,155868,3
1641,148248,0
1642,53241,3
1643,7674,0
1644,5079,2
1645,33076,2
1646,21969,1
1647,25785,3
1648,102617,1
1649,34493,0
1650,61091,1
1651,132768,1
1652,137830,3
1653,130143,2
1654,130714,3
1655,26415,2
1656,50404,1
1657,103181,0
1658,109290,1
1659,105428,1
1660,37375,3
1661,135758,3
1662,120507,0
1663,34240,0
1664,106292,0
1665,37937,0
1666,83492,3
1667,69401,1
1668,152980,0
1669,78364,0
1670,97414,3
1671,119226,3
1672,2144,3
1673,146640,4
1674,94149,3
1675,38693,1
1676,23450,11
1677,134996,3
1678,113709,1
1679,133389,3
1680,26707,3
1681,157433,1
1682,120999,1
1683,153486,1
1684,6792,1
1685,6401,3
1686,163709,0
1687,95441,1
1688,123972,3
1689,116273,3
1690,108424,2
1691,109374,1
1692,166442,1
1693,55315,1
1694,124361,0
1695,78674,0
1696,3373,1
1697,106018,1
1698,167008,1
1699,143458,2
1700,99613,2
1701,90458,3
1702,19105,1
1703,134656,1
1704,144294,1
1705,81585,2
1706,51181,0
1707,44481,1
1708,149289,1
1709,35774,10
1710,8261,3
1711,55415,1
1712,102824,3
1713,29362,0
1714,154461,1
1715,68863,3
1716,86935,3
1717,34712,0
1718,3623,1
1719,111005,0
1720,57257,2
1721,16033,0
1722,122099,2
1723,56448,1
1724,35871,3
1725,159983,0
1726,112600,1
1727,55849,1
1728,53,1
1729,89664,0
1730,137789,1
1731,91110,1
1732,99431,1
1733,13836,3
1734,59359,0
1735,120443,1
1736,79896,2
1737,162299,2
1738,129732,1
1739,121019,3
1740,4033,3
1741,140391,1
1742,113624,1
1743,69871,1
1744,113395,1
1745,33137,3
1746,4645,1
1747,122863,2
1748,24141,3
1749,34545,3
1750,24480,1
1751,43913,1
1752,120733,0
1753,96840,1
1754,54701,3
1755,117679,1
1756,90262,1
1757,162480,5
1758,103184,1
1759,102243,1
1760,107926,1
1761,142868,1
1762,45071,1
1763,63163,1
1764,35091,3
1765,6209,3
1766,20534,1
1767,7511,3
1768,63402,0
1769,152312,1
1770,78584,1
1771,51894,1
1772,161115,1
1773,110830,3
1774,65871,2
1775,98129,3
1776,42896,1
1777,112159,1
1778,111437,1
1779,110697,0
1780,45330,3
1781,127639,3
1782,58132,3
1783,127812,3
1784,11475,1
1785,53188,1
1786,59835,2
1787,16770,1
1788,129254,1
1789,63037,1
1790,81555,0
1791,13398,2
1792,115444,1
1793,139491,1
1794,34924,3
1795,117705,0
1796,4474,2
1797,87517,2
1798,96608,0
1799,85819,0
1800,145171,1
1801,86806,2
1802,14795,1
1803,108214,3
1804,127191,2
1805,147937,3
1806,167116,1
1807,142291,3
1808,155191,3
1809,34904,3
1810,96928,2
1811,44178,0
1812,62725,0
1813,153383,1
1814,86419,2
1815,21966,3
1816,37168,1
1817,82631,0
1818,142272,3
1819,145364,2
1820,49622,1
1821,26444,0
1822,111733,1
1823,117630,0
1824,27209,1
1825,103764,1
1826,20146,0
1827,63677,1
1828,110487,3
1829,129075,1
1830,27217,1
1831,71419,0
1832,51386,1
1833,160982,0
1834,1412,1
1835,101518,3
1836,3583,0
1837,92783,1
1838,80214,1
1839,113502,3
1840,152200,2
1841,132277,2
1842,60635,3
1843,49551,2
1844,74878,3
1845,167793,3
1846,76352,3
1847,14769,1
1848,74339,2
1849,85874,1
1850,40868,3
1851,149947,1
1852,90297,1
1853,116186,3
1854,80396,1
1855,53638,3
1856,167252,1
1857,164379,1
1858,3536,1
1859,137311,13
1860,111492,2
1861,626,3
1862,597,3
1863,57991,3
1864,75754,3
1865,125587,1
1866,21760,3
1867,132940,3
1868,25551,1
1869,95470,1
1870,20654,3
1871,157114,3
1872,15500,2
1873,150221,1
1874,97396,2
